日期,概念名称,成分股数量,网址,代码
2014-12-04,PPP概念,175,http://q.10jqka.com.cn/gn/detail/code/301624/,301624
2014-10-28,壳资源,66,http://q.10jqka.com.cn/gn/detail/code/301610/,301610
2014-10-23,体育产业,87,http://q.10jqka.com.cn/gn/detail/code/301605/,301605
2014-10-08,玉米,20,http://q.10jqka.com.cn/gn/detail/code/301572/,301572
2014-10-08,金属铜,40,http://q.10jqka.com.cn/gn/detail/code/301577/,301577
2014-10-08,金属锌,22,http://q.10jqka.com.cn/gn/detail/code/301582/,301582
2014-09-24,医药电商,60,http://q.10jqka.com.cn/gn/detail/code/301565/,301565
2014-09-23,跨境电商,180,http://q.10jqka.com.cn/gn/detail/code/301564/,301564
2014-08-28,阿里巴巴概念,142,http://q.10jqka.com.cn/gn/detail/code/301558/,301558
2014-07-04,细胞免疫治疗,30,http://q.10jqka.com.cn/gn/detail/code/301543/,301543
2014-07-02,中韩自贸区,9,http://q.10jqka.com.cn/gn/detail/code/301541/,301541
2014-05-20,国产软件,228,http://q.10jqka.com.cn/gn/detail/code/301524/,301524
2014-05-19,集成电路概念,225,http://q.10jqka.com.cn/gn/detail/code/301522/,301522
2014-05-13,高铁,94,http://q.10jqka.com.cn/gn/detail/code/301518/,301518
2014-04-29,金属镍,30,http://q.10jqka.com.cn/gn/detail/code/301511/,301511
2014-04-26,医疗器械概念,307,http://q.10jqka.com.cn/gn/detail/code/301505/,301505
2014-04-14,白酒概念,47,http://q.10jqka.com.cn/gn/detail/code/301496/,301496
2014-04-14,啤酒概念,18,http://q.10jqka.com.cn/gn/detail/code/301497/,301497
2014-04-12,养老概念,101,http://q.10jqka.com.cn/gn/detail/code/301494/,301494
2014-04-11,粤港澳大湾区,210,http://q.10jqka.com.cn/gn/detail/code/301491/,301491
2014-01-07,工业大麻,44,http://q.10jqka.com.cn/gn/detail/code/301477/,301477
2013-12-31,汽车电子,246,http://q.10jqka.com.cn/gn/detail/code/301471/,301471
2013-12-24,航空发动机,46,http://q.10jqka.com.cn/gn/detail/code/301470/,301470
2013-12-11,华为概念,815,http://q.10jqka.com.cn/gn/detail/code/301459/,301459
2013-11-26,摘帽,40,http://q.10jqka.com.cn/gn/detail/code/301455/,301455
2013-09-12,信托概念,26,http://q.10jqka.com.cn/gn/detail/code/301377/,301377
2013-09-09,一带一路,486,http://q.10jqka.com.cn/gn/detail/code/301365/,301365
2013-07-30,染料,16,http://q.10jqka.com.cn/gn/detail/code/301292/,301292
2013-07-26,无人驾驶,196,http://q.10jqka.com.cn/gn/detail/code/301286/,301286
2013-07-24,小米概念,257,http://q.10jqka.com.cn/gn/detail/code/301278/,301278
2013-07-22,参股银行,149,http://q.10jqka.com.cn/gn/detail/code/301270/,301270
2013-07-17,机器视觉,144,http://q.10jqka.com.cn/gn/detail/code/301258/,301258
2013-07-17,百度概念,139,http://q.10jqka.com.cn/gn/detail/code/301259/,301259
2013-07-16,互联网彩票,12,http://q.10jqka.com.cn/gn/detail/code/301249/,301249
2013-07-16,眼科医疗,42,http://q.10jqka.com.cn/gn/detail/code/301252/,301252
2013-07-11,福建自贸区,36,http://q.10jqka.com.cn/gn/detail/code/301236/,301236
2013-07-10,天津自贸区,14,http://q.10jqka.com.cn/gn/detail/code/301229/,301229
2013-05-30,冷链物流,128,http://q.10jqka.com.cn/gn/detail/code/301179/,301179
2013-05-29,智能穿戴,81,http://q.10jqka.com.cn/gn/detail/code/301175/,301175
2013-05-24,人脸识别,79,http://q.10jqka.com.cn/gn/detail/code/301166/,301166
2013-05-14,上海自贸区,51,http://q.10jqka.com.cn/gn/detail/code/301128/,301128
2013-05-07,化肥,52,http://q.10jqka.com.cn/gn/detail/code/301104/,301104
2013-05-07,金属回收,25,http://q.10jqka.com.cn/gn/detail/code/301107/,301107
2013-05-06,足球概念,22,http://q.10jqka.com.cn/gn/detail/code/301100/,301100
2013-04-25,芯片概念,464,http://q.10jqka.com.cn/gn/detail/code/301085/,301085
2013-04-24,光伏概念,482,http://q.10jqka.com.cn/gn/detail/code/301079/,301079
2013-04-17,手机游戏,57,http://q.10jqka.com.cn/gn/detail/code/301050/,301050
2013-04-15,净水概念,31,http://q.10jqka.com.cn/gn/detail/code/301032/,301032
2013-04-01,乳业,32,http://q.10jqka.com.cn/gn/detail/code/300983/,300983
2013-03-28,航运概念,33,http://q.10jqka.com.cn/gn/detail/code/300973/,300973
2013-03-06,超级电容,32,http://q.10jqka.com.cn/gn/detail/code/300926/,300926
2013-02-27,语音技术,19,http://q.10jqka.com.cn/gn/detail/code/300917/,300917
2013-02-05,融资融券,3548,http://q.10jqka.com.cn/gn/detail/code/300900/,300900
2013-01-24,三胎概念,132,http://q.10jqka.com.cn/gn/detail/code/300891/,300891
2013-01-21,高端装备,237,http://q.10jqka.com.cn/gn/detail/code/300890/,300890
2013-01-11,无人机,124,http://q.10jqka.com.cn/gn/detail/code/300889/,300889
2012-12-20,ST板块,116,http://q.10jqka.com.cn/gn/detail/code/300862/,300862
2012-12-19,土地流转,36,http://q.10jqka.com.cn/gn/detail/code/300858/,300858
2012-12-05,5G,347,http://q.10jqka.com.cn/gn/detail/code/300843/,300843
2012-11-23,乡村振兴,232,http://q.10jqka.com.cn/gn/detail/code/300836/,300836
2012-11-22,大数据,297,http://q.10jqka.com.cn/gn/detail/code/300835/,300835
2012-11-10,量子科技,38,http://q.10jqka.com.cn/gn/detail/code/300830/,300830
2012-11-02,小金属概念,130,http://q.10jqka.com.cn/gn/detail/code/300809/,300809
2012-11-02,家用电器,86,http://q.10jqka.com.cn/gn/detail/code/300814/,300814
2012-10-31,文化传媒,191,http://q.10jqka.com.cn/gn/detail/code/300806/,300806
2012-10-09,充电桩,244,http://q.10jqka.com.cn/gn/detail/code/300786/,300786
2012-10-07,稀缺资源,46,http://q.10jqka.com.cn/gn/detail/code/300777/,300777
2012-09-26,生物医药,189,http://q.10jqka.com.cn/gn/detail/code/300769/,300769
2012-09-21,锂电池,398,http://q.10jqka.com.cn/gn/detail/code/300733/,300733
2012-09-20,卫星导航,133,http://q.10jqka.com.cn/gn/detail/code/300722/,300722
2012-09-19,中字头股票,134,http://q.10jqka.com.cn/gn/detail/code/300704/,300704
2012-09-19,世界杯,42,http://q.10jqka.com.cn/gn/detail/code/300714/,300714
2012-09-18,智能医疗,87,http://q.10jqka.com.cn/gn/detail/code/300682/,300682
2012-09-11,智慧城市,265,http://q.10jqka.com.cn/gn/detail/code/300642/,300642
2012-09-10,电子商务,439,http://q.10jqka.com.cn/gn/detail/code/300186/,300186
2012-09-10,移动支付,72,http://q.10jqka.com.cn/gn/detail/code/300188/,300188
2012-09-10,风电,247,http://q.10jqka.com.cn/gn/detail/code/300200/,300200
2012-09-10,固废处理,113,http://q.10jqka.com.cn/gn/detail/code/300221/,300221
2012-09-10,光热发电,34,http://q.10jqka.com.cn/gn/detail/code/300223/,300223
2012-09-10,水利,132,http://q.10jqka.com.cn/gn/detail/code/300345/,300345
2012-09-10,钛白粉概念,14,http://q.10jqka.com.cn/gn/detail/code/300351/,300351
2012-09-10,碳纤维,33,http://q.10jqka.com.cn/gn/detail/code/300352/,300352
2012-09-10,特高压,90,http://q.10jqka.com.cn/gn/detail/code/300353/,300353
2012-09-10,通用航空,31,http://q.10jqka.com.cn/gn/detail/code/300362/,300362
2012-09-10,污水处理,187,http://q.10jqka.com.cn/gn/detail/code/300374/,300374
2012-09-10,物联网,303,http://q.10jqka.com.cn/gn/detail/code/300378/,300378
2012-09-10,稀土永磁,53,http://q.10jqka.com.cn/gn/detail/code/300382/,300382
2012-09-10,新疆振兴,68,http://q.10jqka.com.cn/gn/detail/code/300386/,300386
2012-09-10,参股新三板,170,http://q.10jqka.com.cn/gn/detail/code/300389/,300389
2012-09-10,页岩气,39,http://q.10jqka.com.cn/gn/detail/code/300402/,300402
2012-09-05,新能源汽车,729,http://q.10jqka.com.cn/gn/detail/code/300008/,300008
2012-09-05,网络游戏,69,http://q.10jqka.com.cn/gn/detail/code/300019/,300019
2012-09-05,智能电网,180,http://q.10jqka.com.cn/gn/detail/code/300037/,300037
2012-09-05,流感,135,http://q.10jqka.com.cn/gn/detail/code/300038/,300038
2012-09-05,节能照明,82,http://q.10jqka.com.cn/gn/detail/code/300053/,300053
2012-09-05,海峡两岸,42,http://q.10jqka.com.cn/gn/detail/code/300066/,300066
2012-09-05,军工,494,http://q.10jqka.com.cn/gn/detail/code/300082/,300082
2012-09-05,氟化工概念,28,http://q.10jqka.com.cn/gn/detail/code/300085/,300085
2012-09-05,横琴新区,46,http://q.10jqka.com.cn/gn/detail/code/300087/,300087
2012-09-05,磷化工,45,http://q.10jqka.com.cn/gn/detail/code/300098/,300098
2012-09-05,参股券商,122,http://q.10jqka.com.cn/gn/detail/code/300100/,300100
2012-09-05,生物疫苗,55,http://q.10jqka.com.cn/gn/detail/code/300106/,300106
,草甘膦,,http://q.10jqka.com.cn/gn/detail/code/300157/,300157
,创投,,http://q.10jqka.com.cn/gn/detail/code/300168/,300168
,国家大基金持股 ,,http://q.10jqka.com.cn/gn/detail/code/307816/,307816
,核电,,http://q.10jqka.com.cn/gn/detail/code/300238/,300238
,黄金概念,,http://q.10jqka.com.cn/gn/detail/code/300248/,300248
,建筑节能,,http://q.10jqka.com.cn/gn/detail/code/300261/,300261
,金改,,http://q.10jqka.com.cn/gn/detail/code/300265/,300265
,京津冀一体化,,http://q.10jqka.com.cn/gn/detail/code/300061/,300061
,苹果概念,,http://q.10jqka.com.cn/gn/detail/code/300309/,300309
,PM2.5,,http://q.10jqka.com.cn/gn/detail/code/300134/,300134
,石墨烯,,http://q.10jqka.com.cn/gn/detail/code/300337/,300337
